tune,max_betx,min_betx,max_dx,min_dx,sigma_xMAX,sigma_yMAX,beta_x_at_teca,alpha_teca,gamma_teca,dx_at_teca,dpx_teca,EpsilonBetaTeca,D_xDeltaPTeca,beta_tpst,dispersion_tpst,dpx_tpst,EpsilonBetaTPST,D_xDeltaPTPST,beta_tcsm,dispersion_tcsm,EpsilonBetaTCSM,D_xDeltaPTCSM,mu_x_teca,mu_x_tpst,mu_x_tcsm,delta_mu_xtpst,delta_mu_x_tcsm,EasyDeltaXtpst,EasyDeltaXtcsm,ErrorEasyDeltaXtpst,ErrorEasyDeltaXtcsm,x_NONchanneledTPST,x_NONchanneledTCSM,delta_mu_TCSM_TPST,ratioDxBetaTECA,ratioDxBetaTPST,ratioDxBetaTCSM,Dx_BetaTECA,Dx_BetaTPST,Dx_BetaTCSM
19.9,105.92915645412691,32.345232753000154,8.396496773868648,-1.5042289035689878,0.012690808030592466,0.0011195419952053072,69.64547751216408,-1.3943877205018544,0.04227578329938383,-1.1946789694536168,-0.025784359791966503,1.633660190405963e-06,3.211330140123201e-06,57.83379191055086,-1.0974858412933384,-0.026551370748246244,1.356595817553087e-06,2.7100691366385302e-06,34.0294499883421,-0.6659992680315527,7.982220774874509e-07,9.979988062917689e-07,0.0,13.25488728190778,3.4444393514879854,83.28291301800454,21.642050724740493,-0.011037780378848007,-0.0028974305767053656,-0.002336463341119884,-0.0017824224654269475,-0.011176876625142398,0.030515250369939885,-61.640862293264036,1.9657271193743104,1.997698283875535,1.2502771276799955,-0.017153719266910873,-0.018976549955271385,-0.019571261606041605
20.1,105.25844318961195,31.928332661521427,8.014875942181773,-1.0790183503395248,0.012122806740119858,0.0011130734179069274,69.93626007964882,-1.4280601089886258,0.04345893920297071,-0.8657378518284975,-0.018760173361243308,1.6404810195758239e-06,1.6863795631993983e-06,56.34760368686002,-0.7615961618577823,-0.018359844120178537,1.3217345943520569e-06,1.305064605952137e-06,33.67818295069334,-0.4493743920398594,7.899824760645388e-07,4.5435902449768486e-07,0.0,13.387218443960542,3.4791859031350176,84.11437423109643,21.86036974752428,-0.007108542153075003,-0.0011012186190621136,-0.002728302853081436,-0.0014710456672183388,0.027809736716330545,0.034303774589208226,-62.25400448357215,1.0279787105585911,0.9873877944398575,0.5751507638006964,-0.012378955506664615,-0.013516034614181521,-0.013343189942811568
20.2,104.71835669501561,31.792415080780053,7.848293087899122,-0.8760639741305933,0.011875384935419021,0.0011105030339520123,69.50774221815252,-1.4246774715167667,0.04358803496074679,-0.70143186481983,-0.015277753970763742,1.630429360857824e-06,1.1070149872154045e-06,56.3238454595179,-0.6231112316060218,-0.015139223971187802,1.321177302312575e-06,8.7360211564554e-07,33.39318760087111,-0.3673797516816967,7.83297396514699e-07,3.0367773437783653e-07,0.0,13.453939979848847,3.4963399475012973,84.5335980050623,21.968151787045198,-0.0031069668117080923,-0.00019276300180763692,-0.0022117266052513857,-0.0012881697785677036,0.04131691439507089,0.03549333365179779,-62.565446218017094,0.6789714499700659,0.6612300363595378,0.3876914895020181,-0.010091420645175918,-0.011063009397216595,-0.011001637701460794
20.3,104.63009880855824,31.564736368924954,7.701558720479938,-0.6914717080687895,0.011657385342382216,0.001110047698524731,69.23787314511694,-1.4268220819448907,0.04384625228395908,-0.5524395117713295,-0.012076624882671343,1.6240990953906516e-06,6.866761818738262e-07,56.17419894832426,-0.49221617566154435,-0.012015593802119534,1.3176670736989872e-06,5.451227180614717e-07,33.15430867328075,-0.2888248469679361,7.776940607595083e-07,1.8769453250861632e-07,0.0,13.52045798035435,3.5135417631979653,84.95154292850142,22.076233982687313,0.001391026979209433,0.0007084709356840764,-0.001311404191914512,-0.0010900383358039168,0.04735385279602738,0.036195364555374906,-62.87530894581412,0.4228043620137951,0.41370292158184535,0.2413475195185506,-0.007978863108828622,-0.008762317663209467,-0.008711532784898685
20.4,104.9173944504621,31.251507385408335,7.569932163012662,-0.5193061012278146,0.011462090261835244,0.001114512615127556,69.07769585880595,-1.4335652082562722,0.04422714406351159,-0.4138714357560364,-0.009067292929543164,1.6203418484680814e-06,3.8540152200321667e-07,56.07338226197728,-0.36928176112539746,-0.009039401396123048,1.3153022366284834e-06,3.06830292974719e-07,32.988587957491966,-0.21514906550910595,7.738067827081455e-07,1.0415052087624354e-07,0.0,13.586650087805515,3.530695622689687,85.36744020548984,22.18401486060712,0.00560885537599585,0.0015920641571480643,-0.00018312793010102931,-0.000879043429675528,0.04488829879977725,0.0364046558660541,-63.18342534488273,0.23785198312787303,0.23327740532185032,0.13459499606832173,-0.005991390283225212,-0.006585687294554429,-0.00652192406011255
20.6,104.61377618876803,30.825081344985378,7.344659367181442,-0.20290504934381348,0.01112598945789567,0.0011097751025828484,68.13618477288887,-1.4160279868117756,0.04410483606399315,-0.16081341652207792,-0.0034863831602687254,1.5982570091528511e-06,5.818714860038248e-08,55.08931706456157,-0.14391192624026802,-0.0034825953132702325,1.2922192139368627e-06,4.659894565691478e-08,32.07172530784666,-0.08087573520075926,7.523001168871803e-07,1.4716990224592494e-08,0.0,13.721634644303776,3.5657701302997173,86.21557318757587,22.404394491479025,0.01049149890744993,0.0032664487414205572,0.0019686270931279027,-0.00042873030491386287,0.017839435503113364,0.03535686390752961,-63.811178696096846,0.03640662813750106,0.036061176891919816,0.019562658431434947,-0.002360176418126437,-0.00261233817931726,-0.0025217145140917076
20.7,104.32256838283911,30.650863064308442,7.248620050757331,-0.055216309938304294,0.010984332423712974,0.0011100702434519065,67.9796552463526,-1.4222017718653424,0.04446415429650326,-0.04414086676935298,-0.0008720557905710776,1.5945853270098042e-06,4.383936268086983e-09,54.95114596970087,-0.03992634105583715,-0.0008715428652093696,1.2889781618944051e-06,3.5867535977408115e-09,31.89357967077408,-0.019103182783738137,7.481213899148632e-07,8.210960830550457e-10,0.0,13.787790655382201,3.5830475407102025,86.63124366436544,22.512951662716294,0.01033635557387698,0.004038376494793828,0.002617704498644211,-0.00019484291674792665,-0.0018280931410825096,0.03412181652762329,-64.11829200164915,0.0027492641465024776,0.002782633332181033,0.001097543920176493,-0.0006493246635245524,-0.0007265788611187811,-0.0005989664058074824
20.8,104.41057766444992,30.368687651423823,7.163498675724707,0.018658382589448297,0.01085798858751665,0.0011134371896622725,67.71324393716036,-1.4228805318637316,0.04466761348435341,0.06655886238507164,0.0016364496534721417,1.588336169625173e-06,9.967684864488535e-09,54.7044203178659,0.05870905096717092,0.0016368373077878438,1.2831907670806595e-06,7.755193497298214e-09,31.619050577698935,0.04007891791452561,7.416818152793559e-07,3.614219237698384e-09,0.0,13.854227326823807,3.6005600861389384,87.04867758222525,22.62298623084544,0.008399179446267361,0.004755267717557801,0.002811200717762046,4.114457879635623e-05,-0.021058066212738695,0.03243763140510481,-64.42569135137983,0.006275551142829406,0.006043679315852445,0.00487300505856016,0.0009829519088886067,0.0010732048822752471,0.0012675560202555056
20.9,105.21562534095544,29.871436044194287,7.089641810954725,0.05939269615701703,0.01074895915923697,0.0011345050315613786,67.25548348047309,-1.4141338356867887,0.04460267549939154,0.168824074989586,0.0039882746614389245,1.5775985731358469e-06,6.412852866620103e-08,54.3353828488888,0.14976407867770533,0.003991219079684786,1.2745343281649987e-06,5.046587833990931e-08,31.1917361023,0.09853558893960548,7.316583841510171e-07,2.1845840147268534e-08,0.0,13.920700192553848,3.6187389845500464,87.46633891550638,22.737207618242827,0.005026733128015153,0.0054093198660644035,0.0025145684370031216,0.0002763913173330508,-0.03641079380127609,0.030330432914575673,-64.72913129726355,0.040649459094483434,0.03959554264228189,0.02985797828670746,0.0025101904893539612,0.00275629011567309,0.003159028680431152
21.1,105.10561362132721,29.42715902148925,6.966251300201962,0.11723087216146763,0.01056360263524403,0.0011126469143162064,67.98872798070411,-1.475644120770277,0.04673606442623397,0.4046405968385629,0.009405553957462426,1.594798144344937e-06,3.684015283722039e-07,54.495482756044794,0.35986392116323934,0.009418360074672585,1.2782897600200357e-06,2.9137959394870984e-07,31.61025384151467,0.1914842244298703,7.414754719786409e-07,8.24989684623951e-08,0.0,14.053936874238365,3.64920767343375,88.3034896762439,22.928648036565942,-0.0035210193842787913,0.006502199182318338,0.0007292929931794246,0.0007335654133886501,-0.04575584747341743,0.024975700256312478,-65.37484163967795,0.23100197957875399,0.22794487060910415,0.1112632468370735,0.005951583576521743,0.00660355506481539,0.006057661712870792
